Id,MSSubClass,MSZoning,LotFrontage,LotArea,Grvl,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
692,F,RL,104,21535,0,IR1,Lvl,1,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,Very Excellent,Above Average,1994,1995,Gable,WdShngl,HdBoard,HdBoard,BrkFace,1170,Ex,TA,PConc,Ex,TA,Gd,GLQ,1455,Unf,0,989,2444,GasA,Ex,1,SBrkr,2444,1872,0,4316,0,1,3,1,4,1,Ex,10,Typ,2,Attchd,1994,Fin,3,832,TA,TA,Y,382,50,0,0,0,0,0,1,2007,WD,Normal,755000
1183,F,RL,160,15623,0,IR1,Lvl,1,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,Very Excellent,Average,1996,1996,Hip,CompShg,Wd Sdng,ImStucc,None,0,Gd,TA,PConc,Ex,TA,Av,GLQ,2096,Unf,0,300,2396,GasA,Ex,1,SBrkr,2411,2065,0,4476,1,0,3,1,4,1,Ex,10,Typ,2,Attchd,1996,Fin,3,813,TA,TA,Y,171,78,0,0,0,1,0,7,2007,WD,Abnorml,745000
1170,F,RL,118,35760,0,IR1,Lvl,1,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,Very Excellent,Average,1995,1996,Hip,CompShg,HdBoard,HdBoard,BrkFace,1378,Gd,Gd,PConc,Ex,TA,Gd,GLQ,1387,Unf,0,543,1930,GasA,Ex,1,SBrkr,1831,1796,0,3627,1,0,3,1,4,1,Gd,10,Typ,1,Attchd,1995,Fin,3,807,TA,TA,Y,361,76,0,0,0,0,0,7,2006,WD,Normal,625000
899,A,RL,100,12919,0,IR1,Lvl,1,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Excellent,Average,2009,2010,Hip,CompShg,VinylSd,VinylSd,Stone,760,Ex,TA,PConc,Ex,TA,Gd,GLQ,2188,Unf,0,142,2330,GasA,Ex,1,SBrkr,2364,0,0,2364,1,0,2,1,2,1,Ex,11,Typ,2,Attchd,2009,Fin,3,820,TA,TA,Y,0,67,0,0,0,0,0,3,2010,New,Partial,611657
804,F,RL,107,13891,0,Reg,Lvl,1,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Excellent,Average,2008,2009,Hip,CompShg,VinylSd,VinylSd,Stone,424,Ex,TA,PConc,Ex,TA,Gd,Unf,0,Unf,0,1734,1734,GasA,Ex,1,SBrkr,1734,1088,0,2822,0,0,3,1,4,1,Ex,12,Typ,1,BuiltIn,2009,RFn,3,1020,TA,TA,Y,52,170,0,0,1,0,0,1,2009,New,Partial,582933
1047,F,RL,85,16056,0,IR1,Lvl,1,Inside,Gtl,StoneBr,Norm,Norm,1Fam,2Story,Excellent,Average,2005,2006,Hip,CompShg,CemntBd,CmentBd,Stone,208,Gd,TA,PConc,Ex,TA,Av,GLQ,240,Unf,0,1752,1992,GasA,Ex,1,SBrkr,1992,876,0,2868,0,0,3,1,4,1,Ex,11,Typ,1,BuiltIn,2005,Fin,3,716,TA,TA,Y,214,108,0,0,0,0,0,7,2006,New,Partial,556581
441,A,RL,105,15431,0,Reg,Lvl,1,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Very Excellent,Average,2008,2008,Hip,CompShg,VinylSd,VinylSd,Stone,200,Ex,TA,PConc,Ex,TA,Gd,GLQ,1767,ALQ,1,788,3094,GasA,Ex,1,SBrkr,2402,0,0,2402,1,0,2,0,2,1,Ex,10,Typ,2,Attchd,2008,Fin,3,672,TA,TA,Y,0,72,0,0,1,0,0,4,2009,WD,Normal,555000
770,F,RL,47,53504,0,IR2,HLS,1,CulDSac,Mod,StoneBr,Norm,Norm,1Fam,2Story,Very Good,Average,2003,2003,Hip,CompShg,CemntBd,Wd Shng,BrkFace,603,Ex,TA,PConc,Gd,TA,Gd,ALQ,1416,Unf,0,234,1650,GasA,Ex,1,SBrkr,1690,1589,0,3279,1,0,3,1,4,1,Ex,12,Mod,1,BuiltIn,2003,Fin,3,841,TA,TA,Y,503,36,0,0,1,0,0,6,2010,WD,Normal,538000
179,A,RL,63,17423,0,IR1,Lvl,1,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,1Story,Excellent,Average,2008,2009,Hip,CompShg,VinylSd,VinylSd,Stone,748,Ex,TA,PConc,Ex,TA,No,GLQ,1904,Unf,0,312,2216,GasA,Ex,1,SBrkr,2234,0,0,2234,1,0,2,0,1,1,Ex,9,Typ,1,Attchd,2009,Fin,3,1166,TA,TA,Y,0,60,0,0,0,0,0,7,2009,New,Partial,501837
799,F,RL,104,13518,0,Reg,Lvl,1,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Excellent,Average,2008,2009,Hip,CompShg,VinylSd,VinylSd,Stone,860,Ex,TA,PConc,Ex,TA,No,Unf,0,Unf,0,1926,1926,GasA,Ex,1,SBrkr,1966,1174,0,3140,0,0,3,1,4,1,Ex,11,Typ,2,BuiltIn,2009,Fin,3,820,TA,TA,Y,144,78,0,0,0,0,0,7,2009,New,Partial,485000
